"turtle.id","Pool","Riffle","Run"
"16",45.5732946298984,16.1828737300435,38.2438316400581
"18",45.5732946298984,16.1828737300435,38.2438316400581
"21",45.5732946298984,16.1828737300435,38.2438316400581
"22",45.5732946298984,16.1828737300435,38.2438316400581
"23",45.5732946298984,16.1828737300435,38.2438316400581
"24",45.5732946298984,16.1828737300435,38.2438316400581
"25",45.5732946298984,16.1828737300435,38.2438316400581
"26",45.5732946298984,16.1828737300435,38.2438316400581
"30",45.5732946298984,16.1828737300435,38.2438316400581
"32",45.5732946298984,16.1828737300435,38.2438316400581
"37",45.5732946298984,16.1828737300435,38.2438316400581
"39",45.5732946298984,16.1828737300435,38.2438316400581
"43",45.5732946298984,16.1828737300435,38.2438316400581
"45",45.5732946298984,16.1828737300435,38.2438316400581
"47",45.5732946298984,16.1828737300435,38.2438316400581
"54",45.5732946298984,16.1828737300435,38.2438316400581
"56",45.5732946298984,16.1828737300435,38.2438316400581
"58",45.5732946298984,16.1828737300435,38.2438316400581
"61",45.5732946298984,16.1828737300435,38.2438316400581
"62",45.5732946298984,16.1828737300435,38.2438316400581
"63",45.5732946298984,16.1828737300435,38.2438316400581
"65",45.5732946298984,16.1828737300435,38.2438316400581
"71",45.5732946298984,16.1828737300435,38.2438316400581
"72",45.5732946298984,16.1828737300435,38.2438316400581
"73",45.5732946298984,16.1828737300435,38.2438316400581
