"turtle.id","sex","cl","pl","wt","HR_Type","MCP_Lv","Area_m2","Pts"
"16","M",120.7,97.7,205,"MCP",100,12421.5654296875,71
"18","F",118.7,102.7,205,"MCP",100,4111.53430175781,106
"21","F",124.9,109.2,246,"MCP",100,6365.66592407227,50
"22","F",112.4,94.2,164,"MCP",100,6214.39294433594,85
"23","J",89,74.7,87,"MCP",100,7082.49761962891,78
"24","F",127,111.7,261,"MCP",100,2195.73477172852,88
"25","F",141.2,116.6,329,"MCP",100,21795.7199707031,90
"26","J",101.3,87.1,124,"MCP",100,242.691741943359,17
"30","J",105.4,86.4,132,"MCP",100,2357.66903686523,43
"32","J",77.1,63.9,77,"MCP",100,12789.621307373,26
"37","F",127.7,108.8,261,"MCP",100,6096.15896606445,95
"39","J",95.9,80.3,102,"MCP",100,328.531616210938,11
"43","M",137.3,113.1,246,"MCP",100,37131.5981140137,64
"45","F",116.2,100,187,"MCP",100,7867.67041015625,21
"47","M",111.9,94.4,175,"MCP",100,29388.2777709961,95
"54","M",118.9,100.5,200,"MCP",100,19627.8536071777,100
"56","F",131.1,115.1,250,"MCP",100,3118.14749145508,89
"58","J",97.7,84.5,144,"MCP",100,301.805389404297,88
"61","F",131.3,113.8,255,"MCP",100,1414.259765625,114
"62","J",93.5,89.2,111,"MCP",100,787.039642333984,30
"63","F",131.4,117.1,287,"MCP",100,2554.34020996094,90
"65","F",110,94.4,165,"MCP",100,2296.67880249023,86
"71","M",117.3,99,197,"MCP",100,12330.4777526855,71
"72","J",98,84.4,114,"MCP",100,304.595764160156,29
"73","F",132.5,111.2,290,"MCP",100,524.361999511719,42
