"turtle.id","HR_Type","Ct_Vol","Distance_m","Pts","sex","cl","pl","wt"
"16","Stream distance",100,421.632419318802,70,"M",120.7,97.7,205
"18","Stream distance",100,195.584997954929,106,"F",118.7,102.7,205
"21","Stream distance",100,256.624775728068,50,"F",124.9,109.2,246
"22","Stream distance",100,258.624103427251,85,"F",112.4,94.2,164
"23","Stream distance",100,261.6592303308,78,"J",89,74.7,87
"24","Stream distance",100,125.719977429609,88,"F",127,111.7,261
"25","Stream distance",100,443.271405252343,90,"F",141.2,116.6,329
"26","Stream distance",100,96.3567510944238,17,"J",101.3,87.1,124
"30","Stream distance",100,153.961641138308,43,"J",105.4,86.4,132
"32","Stream distance",100,449.85344601927,26,"J",77.1,63.9,77
"37","Stream distance",100,277.842763124618,95,"F",127.7,108.8,261
"39","Stream distance",100,137.931416122497,11,"J",95.9,80.3,102
"43","Stream distance",100,777.102669980382,65,"M",137.3,113.1,246
"45","Stream distance",100,384.547624111603,21,"F",116.2,100,187
"47","Stream distance",100,586.998722609473,95,"M",111.9,94.4,175
"54","Stream distance",100,569.682826054386,100,"M",118.9,100.5,200
"56","Stream distance",100,167.629872917401,89,"F",131.1,115.1,250
"58","Stream distance",100,32.0479793602432,88,"J",97.7,84.5,144
"61","Stream distance",100,118.265664596714,114,"F",131.3,113.8,255
"62","Stream distance",100,57.5295730340357,30,"J",93.5,89.2,111
"63","Stream distance",100,118.546962772154,90,"F",131.4,117.1,287
"65","Stream distance",100,107.414374415256,86,"F",110,94.4,165
"71","Stream distance",100,431.472336235201,71,"M",117.3,99,197
"72","Stream distance",100,43.5135761954851,29,"J",98,84.4,114
"73","Stream distance",100,69.4026434773531,42,"F",132.5,111.2,290
